name	Library_30	Library_34	Library_01	Library_18	Library_10	Library_33	Library_09	Library_02	Library_40	Library_25	Library_20	Library_26	Library_17	Library_04	Library_12	Library_11	Library_35	Library_03	Library_19	Library_36	Library_27	Library_28	Library_14	Library_29	Library_38	Library_22	Library_05	Library_06	Library_21	Library_13	Library_08	Library_24	Library_16	Library_23	Library_31	Library_32	Library_15	Library_07	Library_39
rno-miR-935	10	9	24	18	15	2	28	13	4	6	0	5	15	17	10	17	13	5	5	2	20	6	0	20	5	2	2	2	28	3	0	0	4	0	0	2	0	0	3
rno-miR-30c-5p	307	124	642	323	264	21	622	446	33	374	219	99	273	1128	301	107	685	330	516	11	719	432	152	530	27	70	411	14	1064	287	92	3	165	20	94	142	45	17	154
rno-miR-342-3p	10	11	71	13	27	2	94	50	0	18	21	19	38	60	26	44	26	22	32	4	76	51	17	67	14	7	17	8	103	5	11	0	10	2	9	16	6	0	2
rno-miR-21-5p	61	32	99	37	22	0	201	39	17	165	7	32	59	140	46	36	309	16	112	2	128	62	30	103	64	44	236	2	255	42	25	0	25	0	2	71	53	19	213
rno-miR-878	22	39	40	15	21	2	95	37	12	19	4	3	23	63	14	9	102	18	17	2	73	29	18	38	24	0	75	2	66	16	13	0	20	0	0	28	6	0	50
rno-miR-423-5p	6	2	10	6	2	2	17	7	0	7	2	4	0	37	2	2	6	2	12	8	13	21	7	28	5	7	16	0	43	0	10	0	0	0	7	13	8	2	2
rno-miR-17-5p	44	43	111	67	72	0	212	152	6	118	14	21	82	162	49	73	121	106	39	0	195	99	3	61	5	8	58	4	75	40	7	0	30	0	0	9	14	0	12
rno-let-7b-5p	107	52	79	85	19	14	173	32	19	48	77	85	58	331	71	90	370	32	281	47	106	75	59	311	68	128	146	3	427	35	53	13	35	10	34	79	36	11	130
rno-miR-125a-5p	41	26	43	13	11	2	111	39	11	31	40	16	32	196	22	34	67	22	45	14	45	124	12	146	23	32	150	0	101	8	17	0	12	0	21	20	5	7	43
rno-miR-10b-5p	133	89	166	55	81	9	270	82	16	134	52	31	102	269	95	70	273	46	206	16	192	119	102	369	93	100	248	0	327	73	83	2	54	10	20	136	87	17	287
rno-miR-221-3p	35	5	6	11	5	0	17	8	9	7	16	2	8	57	22	15	87	3	58	9	12	26	34	50	93	36	84	0	125	2	23	0	32	8	11	72	32	3	52
rno-miR-30d-5p	266	205	402	277	289	29	818	208	71	333	169	159	323	1063	345	252	639	291	521	79	613	393	209	881	252	242	706	34	856	148	162	3	152	21	36	244	108	25	258
rno-miR-203a-3p	15	6	85	2	8	2	50	24	10	10	3	2	17	19	20	5	34	41	8	4	48	10	58	39	13	7	37	0	60	6	10	0	22	0	5	24	34	6	48
rno-miR-99a-5p	72	40	60	57	34	3	266	58	16	81	24	32	148	187	47	31	120	18	163	5	226	83	67	300	86	112	120	9	368	43	56	4	39	6	21	123	24	14	56
rno-let-7i-5p	25	16	33	18	13	2	68	6	9	19	9	6	13	112	8	21	80	8	28	0	10	30	2	59	22	4	35	0	38	18	7	0	7	0	3	5	3	0	23
rno-miR-743a-3p	100	109	199	124	95	8	256	90	24	217	33	95	98	207	105	169	338	91	96	10	227	175	54	148	164	33	179	17	295	85	45	0	70	5	4	97	53	6	126
rno-miR-22-5p	5	7	16	6	5	0	18	3	0	25	0	4	8	8	5	5	22	6	6	2	23	8	3	17	2	2	21	0	10	14	2	0	2	2	2	3	0	0	0
rno-miR-3580-3p	170	147	585	139	178	19	644	343	12	219	66	88	267	500	117	94	199	224	208	28	457	186	62	251	13	40	103	6	241	141	46	2	90	13	43	64	39	6	31
rno-let-7c-5p	206	107	123	116	34	22	341	79	57	56	164	88	124	600	104	111	588	49	640	106	177	160	79	772	115	304	331	6	914	61	76	10	87	32	96	142	51	35	258
rno-miR-28-3p	6	13	19	7	20	0	22	18	2	11	5	2	24	27	4	2	11	16	5	6	37	20	3	13	0	6	4	0	27	7	7	0	9	0	0	3	0	0	0
rno-miR-125b-5p	276	162	199	169	147	16	388	246	99	175	222	79	367	663	127	126	378	95	430	90	253	518	116	646	148	109	614	7	605	116	137	14	81	20	169	152	73	39	242
rno-miR-375-3p	168	204	336	90	89	58	397	87	16	372	54	381	268	188	148	505	380	73	243	33	302	156	40	263	119	28	97	190	369	137	50	0	85	49	27	58	37	4	65
rno-miR-741-3p	354	326	800	293	233	12	1264	390	27	491	66	180	455	881	263	184	448	288	292	23	1268	320	110	557	39	91	386	21	709	220	65	0	120	15	33	147	106	21	95
rno-miR-29a-3p	105	58	114	120	62	6	221	30	44	94	37	31	35	286	112	86	395	67	120	4	212	144	77	225	141	76	394	0	203	54	93	0	75	6	26	135	61	15	228
rno-miR-743b-5p	54	31	90	35	60	3	106	40	5	65	7	18	46	112	40	23	95	52	31	2	72	40	9	43	10	8	48	3	28	40	7	0	6	0	13	11	2	0	25
rno-miR-429	32	6	8	7	4	4	31	7	6	6	7	6	7	50	15	7	108	2	44	0	27	18	18	27	23	23	47	3	104	9	33	3	21	6	6	34	18	2	68
rno-miR-672-5p	51	26	22	21	14	6	49	9	0	15	34	34	25	53	32	23	131	12	109	14	39	11	21	79	19	77	33	0	197	27	30	2	36	16	15	37	26	2	79
rno-miR-22-3p	69	37	59	17	9	0	108	6	21	88	13	14	14	52	20	28	151	9	102	2	68	45	77	209	142	79	187	0	333	29	90	0	18	2	2	115	66	14	125
rno-miR-365-3p	14	3	3	5	7	0	21	4	2	2	14	0	3	82	5	4	10	5	13	2	19	23	0	39	0	10	35	2	39	2	7	0	6	2	0	3	2	3	8
rno-miR-7a-5p	406	376	1351	410	367	31	989	578	24	664	99	91	301	899	252	178	836	396	510	21	877	423	97	335	58	34	247	19	595	394	70	2	157	8	31	95	98	8	112
rno-miR-296-5p	79	13	66	55	36	2	144	59	14	31	23	16	83	137	62	23	98	31	43	10	138	107	56	122	20	23	17	12	93	31	25	0	28	3	13	58	34	23	13
rno-miR-132-3p	18	25	45	28	33	0	44	35	2	17	5	2	28	44	21	13	44	19	31	2	44	16	3	27	4	0	17	0	43	7	2	0	14	2	5	4	3	2	0
rno-miR-99b-5p	6	0	11	3	3	6	32	7	2	17	2	9	12	31	5	35	14	6	17	0	10	11	3	24	31	10	30	11	11	4	3	0	0	0	7	5	0	0	6
rno-miR-191a-5p	863	875	2286	903	917	186	3430	1953	80	1502	359	1507	2320	1974	847	1985	1612	1164	1836	100	3040	1367	346	2102	551	465	1052	801	2640	629	344	10	422	146	181	486	260	106	298
rno-miR-128-3p	30	28	76	25	28	2	87	20	2	49	10	14	43	69	42	22	63	15	38	0	92	47	16	27	12	2	58	0	67	19	20	0	25	0	0	21	11	0	6
rno-miR-425-5p	355	246	478	237	147	16	964	365	30	603	95	106	693	664	295	197	541	208	594	13	1268	357	139	782	86	85	266	30	1436	186	175	2	157	12	38	285	115	24	109
rno-miR-34a-5p	10	2	11	4	7	0	29	39	0	4	5	6	4	102	11	2	29	7	17	8	6	7	11	29	21	2	160	0	51	5	13	2	6	3	2	34	4	0	27
rno-miR-26a-5p	174	249	443	165	192	14	794	398	37	338	133	90	301	987	211	156	524	208	291	53	690	562	117	687	73	65	721	7	743	179	71	3	100	4	22	118	49	8	160
rno-let-7d-5p	25	10	11	18	3	0	99	16	4	8	18	13	28	157	10	12	52	9	65	11	36	47	10	111	8	29	80	2	117	7	13	0	13	0	0	23	8	4	34
rno-miR-19a-3p	77	55	160	137	103	4	311	128	2	222	25	62	79	301	85	47	275	125	134	2	340	116	21	158	4	16	114	3	239	93	21	0	67	4	11	37	32	20	34
rno-miR-181a-5p	113	11	35	2	0	16	27	13	42	10	2	12	4	44	3	79	79	0	24	5	14	23	10	54	50	2	54	2	42	11	2	0	7	2	4	18	2	0	66
